feature,f_score
direction_balance,34.924166288472804
length_p95,33.55538848353385
length_p90,33.55538848353385
first_10s_tcp_ratio,32.814946054391704
tcp_ratio,32.34148517286331
inbound_ratio,31.71919000251101
outbound_ratio,30.691912079149816
length_p75,30.359217240256218
first_5s_tcp_ratio,23.53088557321696
delta_fast_ratio,21.498256786839267
first_10s_inbound_ratio,19.03423220423676
first_10s_outbound_ratio,16.292884505191335
outbound_byte_share,12.691653927760719
udp_ratio,11.24209076323727
inbound_byte_share,10.637136957032297
length_small_ratio,10.181056347931065
length_entropy,9.390181528529263
dst_443_ratio,9.35849544320768
length_jumbo_ratio,9.289280194696321
first_5s_udp_ratio,8.873975462506579
flow_count,8.00681079812745
first_10s_packet_count,7.636689866573622
first_10s_udp_ratio,7.48576037093109
first_5s_inbound_ratio,7.152274197003881
flow_bytes_mean,7.118079183649264
